EPZM,1,2022,0.14384083926825877,0.4118586556812363
GOVX,1,2022,0.18041180133765689,0.4483848081576217
GOVX,4,2022,0.13596318873869906,0.45169388604592686
GOVX,2,2022,0.14450120809423142,0.44959271284271274
GOVX,3,2022,0.15904941260873462,0.4312055584089482
AVPT,1,2022,0.1517563793752954,0.42885729928871524
AVPT,4,2022,0.1643090212795453,0.4297211037385708
AVPT,2,2022,0.1773636490823993,0.4416649727587223
AVPT,3,2022,0.14802250445632817,0.42112921229097666
SWIR,1,2022,0.18285788242298193,0.47789297561992017
SWIR,4,2023,0.10280105853678194,0.41519938222381075
MTRN,1,2022,0.19455224514048058,0.46558873246268145
MTRN,4,2022,0.18780897749747588,0.44728807933280756
MTRN,2,2022,0.1844961321618742,0.44972359248087396
MTRN,3,2022,0.12569337257933746,0.4067806957499942
MTRN,4,2022,0.18780897749747588,0.44728807933280756
TRS,4,2022,0.13479485577423703,0.4032791835884623
TRS,2,2022,0.1275922936170358,0.4094207494681725
TRS,3,2022,0.12767082755432274,0.4204843301251065
EXK,1,2022,0.15176459198397982,0.4469050269458435
EXK,4,2022,0.1880744070744072,0.4637527935027933
EXK,2,2022,0.13370029294067767,0.4367537042729347
EXK,3,2022,0.15224790259156845,0.48180882759049876
EXK,4,2022,0.1880744070744072,0.4637527935027933
AQMS,1,2022,0.13673817226764823,0.4394891809629801
AQMS,4,2022,0.1229151420253935,0.4214931576053435
AQMS,2,2022,0.1422505948326029,0.42502381757848945
AQMS,3,2022,0.1146750562833715,0.4261039993315706
EHTH,1,2022,0.12497614405796237,0.40874597220960834
EHTH,4,2022,0.1575362650686484,0.41463379165451697
EHTH,2,2022,0.1264621757306646,0.39960043127647654
EHTH,3,2022,0.14001827413924212,0.427472060595716
TSLA,1,2022,0.12173438927490318,0.44037446128750507
TSLA,4,2022,0.16128084513187982,0.4555755670383258
TSLA,2,2022,0.14386807134307156,0.445819838344838
TSLA,3,2022,0.13544700872181195,0.4784709403457432
ALEX,1,2022,0.16556359359664266,0.39977164271407306
ALEX,4,2022,0.11623799713034838,0.38624372008224706
ALEX,2,2022,0.14087451715519214,0.3927820861256445
ALEX,3,2022,0.10902871572871578,0.3576666185666185
ALEX,4,2022,0.11623799713034838,0.38624372008224706
BZH,1,2022,0.19213538258414717,0.4778998299020096
BZH,4,2022,0.15400053244438275,0.48113084885009977
BZH,2,2022,0.17979003365835905,0.463692393771277
BZH,3,2022,0.17002867126970717,0.4660206331959314
BZH,1,2023,0.1601748246647146,0.43914470996732013
BZH,1,2023,0.1601748246647146,0.43914470996732013
FTK,1,2022,0.19280328405634034,0.46693501961228123
FTK,4,2022,0.1666602149294459,0.4391387026002408
FTK,2,2022,0.1442101590650915,0.43294564880638364
FTK,3,2022,0.15564015475181847,0.4553844262026902
FTK,4,2022,0.1666602149294459,0.4391387026002408
VNET,1,2022,0.1307870496439044,0.3875772533171727
VNET,4,2022,0.10538523388836868,0.3343843382323005
VNET,2,2022,0.07828398186748085,0.3220093122031491
VNET,3,2022,0.13182958701367245,0.36486467148581175
CLVS,1,2022,0.12108993999744662,0.39216801295219533
CLVS,2,2022,0.09893395236882634,0.37323036790473807
MERC,1,2022,0.13316334572136462,0.41846109037712803
MERC,4,2022,0.15068111271657975,0.44322457934222637
MERC,2,2022,0.14231175076983693,0.4594099583239047
MERC,3,2022,0.1308981564244723,0.42690714418784587
BN,1,2022,0.18579281247362545,0.4494750999911483
BN,3,2022,0.19783889252234596,0.42545074899121643
BN,2,2022,0.16177637721755364,0.4289583208700853
BN,3,2022,0.19783889252234596,0.42545074899121643
UAL,1,2022,0.18740824129141842,0.460518011064739
UAL,4,2022,0.15087550856789353,0.44339037607570986
UAL,2,2022,0.14582610496499376,0.4253519910888328
UAL,3,2022,0.1762794598908916,0.42243617301354025
STRA,1,2022,0.14371631292683923,0.4320170180696499
STRA,4,2022,0.11867891275391274,0.4153350871350875
STRA,2,2022,0.12201986822983266,0.41011632594372827
STRA,3,2022,0.11337184907106782,0.44454453575937963
TAC,1,2022,0.20345298585578012,0.48484492556181424
TAC,4,2022,0.22223370343107163,0.48983217257888223
TAC,2,2022,0.19389172743618516,0.4803908069194306
TAC,3,2022,0.1884236099398435,0.4785005013024484
TAC,4,2022,0.22223370343107163,0.48983217257888223
BMBL,1,2022,0.15978917658162956,0.45242892083458086
BMBL,4,2022,0.17905819951850688,0.4671887357201056
BMBL,2,2022,0.15069665035724655,0.429044535149667
BMBL,3,2022,0.14472230721576285,0.41270382395382377
QCRH,1,2022,0.1780291732684536,0.4530219278764452
QCRH,4,2022,0.20841109187109147,0.46127134199134145
QCRH,2,2022,0.1853874518420598,0.4519837448963993
QCRH,3,2022,0.16060483198718492,0.44476336735160255
NFG,1,2022,0.1447327339170559,0.46511713176967384
NFG,4,2022,0.15583665322275808,0.4439752641688864
NFG,2,2022,0.14551397810969027,0.4430694883642816
NFG,3,2022,0.14234708726839485,0.42219669891582773
NFG,1,2023,0.18478619637197513,0.4618605353763373
NFG,1,2023,0.18478619637197513,0.4618605353763373
DTST,1,2022,0.16657824626574638,0.4410075660075661
DTST,4,2022,0.1440815804903396,0.4452962875189154
DTST,2,2022,0.14507577292683677,0.40499580915538347
DTST,3,2022,0.1445384030202762,0.43522630273385565
BWAY,1,2022,0.12507563306303981,0.44057448148866
BWAY,4,2022,0.15552397998826573,0.4281690531690532
BWAY,2,2022,0.14362785147668874,0.37210983460983427
BWAY,3,2022,0.10612175018954688,0.4034975217814201
CTS,1,2022,0.12865268259005436,0.4147399702738507
